sample_code,station_no,site,seaweed,date,day,month,year,plankton_bivalvia,otu_mytilus_edulis,otu_mytilus_edulis_complex,otu_musculus_sp,otu_dosinia_lupinus,otu_dosinia_exoleta,otu_kurtiella_bidentata,otu_montacutona_sigalionidcola,bivalve_sacc_p_cm,mytilus_sacc_p_cm,ostrea_sacc_p_cm,pecten_sacc_p_cm,scallop_brown_sacc_p_cm,bivalve_ala_p_cm,mytilus_ala_p_cm,ostrea_ala_p_cm,pecten_ala_p_cm,scallop_brown_ala_p_cm
Pabay_10_12_21_1,1,Pabay,Saccharina,10/12/2021,10,12,2021,17,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_10_12_21_1,1,Pabay,Alaria,10/12/2021,10,12,2021,17,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_10_12_21_2,2,Pabay,Saccharina,10/12/2021,10,12,2021,2,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_10_12_21_2,2,Pabay,Alaria,10/12/2021,10,12,2021,2,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_10_12_21_3,3,Pabay,Saccharina,10/12/2021,10,12,2021,17,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_10_12_21_3,3,Pabay,Alaria,10/12/2021,10,12,2021,17,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_10_4_22_1,1,Pabay,Saccharina,10/04/2022,10,4,2022,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_10_4_22_1,1,Pabay,Alaria,10/04/2022,10,4,2022,2,0,0,0,0,0,0,0,0,0,0,0,0,0.002941176,0,0,0,0
Pabay_10_4_22_2,2,Pabay,Saccharina,10/04/2022,10,4,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_10_4_22_2,2,Pabay,Alaria,10/04/2022,10,4,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002906977,0,0,0
Pabay_10_4_22_3,3,Pabay,Saccharina,10/04/2022,10,4,2022,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_10_4_22_3,3,Pabay,Alaria,10/04/2022,10,4,2022,25,0,0,0,0,0,0,0,0,0,0,0,0,0.001503759,0,0,0.001503759,0
Pabay_13_11_21_1,1,Pabay,Saccharina,13/11/2021,13,11,2021,2,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_13_11_21_1,1,Pabay,Alaria,13/11/2021,13,11,2021,2,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_13_11_21_2,2,Pabay ,Saccharina,13/11/2021,13,11,2021,2,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_13_11_21_2,2,Pabay ,Alaria,13/11/2021,13,11,2021,2,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_13_11_21_3,3,Pabay,Saccharina,13/11/2021,13,11,2021,34,0.133941087,0.060221574,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_13_11_21_3,3,Pabay,Alaria,13/11/2021,13,11,2021,34,0.133941087,0.060221574,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_14_1_22_1,1,Pabay,Saccharina,14/01/2022,14,1,2022,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_14_1_22_1,1,Pabay,Alaria,14/01/2022,14,1,2022,153,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_14_1_22_2,2,Pabay ,Saccharina,14/01/2022,14,1,2022,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_14_1_22_2,2,Pabay ,Alaria,14/01/2022,14,1,2022,238,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_14_1_22_3,3,Pabay,Saccharina,14/01/2022,14,1,2022,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_14_1_22_3,3,Pabay,Alaria,14/01/2022,14,1,2022,407,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_15_6_21_1,1,Pabay,Alaria,15/06/2021,15,6,2021,2,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_15_6_21_1,1,Pabay,Saccharina,15/06/2021,15,6,2021,2,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_15_6_21_2,2,Pabay,Alaria,15/06/2021,15,6,2021,3336,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_15_6_21_2,2,Pabay,Saccharina,15/06/2021,15,6,2021,3336,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_15_6_21_3,3,Pabay,Alaria,15/06/2021,15,6,2021,1669,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_15_6_21_3,3,Pabay,Saccharina,15/06/2021,15,6,2021,1669,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_15_7_22_1,1,Pabay,Saccharina,15/07/2022,15,7,2022,2785,0,0,0,0,0,0,0,0.0078125,0.0078125,0,0,0,NA,NA,NA,NA,NA
Pabay_15_7_22_1,1,Pabay,Alaria,15/07/2022,15,7,2022,2785,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_15_7_22_2,2,Pabay,Alaria,15/07/2022,15,7,2022,1833,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_15_7_22_20,2,Pabay,Saccharina,15/07/2022,15,7,2022,1833,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Pabay_15_7_22_3,3,Pabay,Saccharina,15/07/2022,15,7,2022,1799,0,0,0,0,0,0,0,0,0.070652174,0,0,0,NA,NA,NA,NA,NA
Pabay_15_7_22_3,3,Pabay,Alaria,15/07/2022,15,7,2022,1799,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_16_9_21_1,1,Pabay,Alaria,16/09/2021,16,9,2021,764,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_16_9_21_1,1,Pabay,Saccharina,16/09/2021,16,9,2021,764,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_16_9_21_2,2,Pabay,Alaria,16/09/2021,16,9,2021,509,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_16_9_21_2,2,Pabay,Saccharina,16/09/2021,16,9,2021,509,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_16_9_21_3,3,Pabay,Alaria,16/09/2021,16,9,2021,153,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_16_9_21_3,3,Pabay,Saccharina,16/09/2021,16,9,2021,153,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_21_12_21_1,1,Pabay,Saccharina,21/12/2021,21,12,2021,2,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_21_12_21_1,1,Pabay,Alaria,21/12/2021,21,12,2021,2,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_21_12_21_2,2,Pabay,Saccharina,21/12/2021,21,12,2021,17,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_21_12_21_2,2,Pabay,Alaria,21/12/2021,21,12,2021,17,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_21_12_21_3,3,Pabay,Saccharina,21/12/2021,21,12,2021,17,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_21_12_21_3,3,Pabay,Alaria,21/12/2021,21,12,2021,17,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_21_3_22_1,1,Pabay,Saccharina,21/03/2022,21,3,2022,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_21_3_22_1,1,Pabay,Alaria,21/03/2022,21,3,2022,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_21_3_22_2,2,Pabay,Saccharina,21/03/2022,21,3,2022,611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_21_3_22_2,2,Pabay,Alaria,21/03/2022,21,3,2022,611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_21_3_22_3,3,Pabay,Saccharina,21/03/2022,21,3,2022,611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_21_3_22_3,3,Pabay,Alaria,21/03/2022,21,3,2022,611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_22_5_22_1,1,Pabay,Saccharina,22/05/2022,22,5,2022,900,0,0,0,0,0,0,0,0.000625,0.000625,0.013125,0.000625,0,0,0,0,0,0
Pabay_22_5_22_1,1,Pabay,Alaria,22/05/2022,22,5,2022,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_22_5_22_2,2,Pabay,Saccharina,22/05/2022,22,5,2022,390,0,0,0,0,0,0.043370307,0,0,0,0.037037037,0,0,0,0,0,0,0
Pabay_22_5_22_2,2,Pabay,Alaria,22/05/2022,22,5,2022,390,0,0,0,0,0,0.043370307,0,0,0,0,0,0,0.000566893,0,0.004251701,0,0
Pabay_22_5_22_3,3,Pabay,Saccharina,22/05/2022,22,5,2022,224,0,0,0,0,0,0,0,0,0,0.00347373,0,0,0,0,0,0,0
Pabay_22_5_22_3,3,Pabay,Alaria,22/05/2022,22,5,2022,224,0,0,0,0,0,0,0,0,0,0,0,0,0.000557414,0,0.003344482,0,0
Pabay_25_2_22_1,1,Pabay,Saccharina,25/02/2022,25,2,2022,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_25_2_22_1,1,Pabay,Alaria,25/02/2022,25,2,2022,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_25_2_22_2,2,Pabay,Saccharina,25/02/2022,25,2,2022,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_25_2_22_2,2,Pabay,Alaria,25/02/2022,25,2,2022,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_25_2_22_3,3,Pabay,Saccharina,25/02/2022,25,2,2022,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_25_2_22_3,3,Pabay,Alaria,25/02/2022,25,2,2022,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_29_11_21_1,1,Pabay,Alaria,29/11/2021,29,11,2021,51,0,0,0,0,0,0,0.042251771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_29_11_21_1,1,Pabay,Saccharina,29/11/2021,29,11,2021,51,0,0,0,0,0,0,0.042251771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_29_11_21_2,2,Pabay,Alaria,29/11/2021,29,11,2021,42.5,0,0,0,0,0,0,0.18558952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_29_11_21_2,2,Pabay,Saccharina,29/11/2021,29,11,2021,42.5,0,0,0,0,0,0,0.18558952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_29_11_21_3,3,Pabay,Alaria,29/11/2021,29,11,2021,34,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_29_11_21_3,3,Pabay,Saccharina,29/11/2021,29,11,2021,34,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_30_1_22_1,1,Pabay,Alaria,30/01/2022,30,1,2022,17,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
Pabay_30_1_22_1,1,Pabay,Saccharina,30/01/2022,30,1,2022,17,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
Pabay_30_1_22_2,2,Pabay,Alaria,30/01/2022,30,1,2022,85,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
Pabay_30_1_22_2,2,Pabay,Saccharina,30/01/2022,30,1,2022,85,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
Pabay_30_1_22_3,3,Pabay,Alaria,30/01/2022,30,1,2022,85,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
Pabay_30_1_22_3,3,Pabay,Saccharina,30/01/2022,30,1,2022,85,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
Pabay_30_10_21_1,1,Pabay,Alaria,30/10/2021,30,10,2021,51,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_30_10_21_1,1,Pabay,Saccharina,30/10/2021,30,10,2021,51,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_30_10_21_2,2,Pabay,Alaria,30/10/2021,30,10,2021,119,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_30_10_21_2,2,Pabay,Saccharina,30/10/2021,30,10,2021,119,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_30_10_21_3,3,Pabay,Alaria,30/10/2021,30,10,2021,85,0,0,0,0,0,0,0.033888253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_30_10_21_3,3,Pabay,Saccharina,30/10/2021,30,10,2021,85,0,0,0,0,0,0,0.033888253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_30_6_22_1,1,Pabay,Saccharina,30/06/2022,30,6,2022,271,0,0,0.003308985,0,0.248173854,0,0,0.00104712,0.003141361,0.012565445,0,0,NA,NA,NA,NA,NA
Pabay_30_6_22_1,1,Pabay,Alaria,30/06/2022,30,6,2022,271,0,0,0.003308985,0,0.248173854,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_30_6_22_2,2,Pabay,Saccharina,30/06/2022,30,6,2022,1359,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Pabay_30_6_22_2,2,Pabay,Alaria,30/06/2022,30,6,2022,1359,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_30_6_22_3,3,Pabay,Saccharina,30/06/2022,30,6,2022,544,0,0,0,0,0,0,0,0,0.011627907,0.029069767,0,0,NA,NA,NA,NA,NA
Pabay_30_6_22_3,3,Pabay,Alaria,30/06/2022,30,6,2022,544,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_30_7_22_1,1,Pabay,Saccharina,30/07/2022,30,7,2022,271,0,0,0,0,0,0,0,9.892173913,2.782608696,0,0.994782609,0.584347826,NA,NA,NA,NA,NA
Pabay_30_7_22_1,1,Pabay,Alaria,30/07/2022,30,7,2022,271,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_30_7_22_2,2,Pabay,Saccharina,30/07/2022,30,7,2022,850,0,0,0,0,0,0,0,0.9,3.457142857,0,0.057142857,0.014285714,NA,NA,NA,NA,NA
Pabay_30_7_22_2,2,Pabay,Alaria,30/07/2022,30,7,2022,850,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_30_7_22_3,3,Pabay,Saccharina,30/07/2022,30,7,2022,570,0,0,0,0,0,0,0,0.027295285,0.052109181,0,0,0.00248139,NA,NA,NA,NA,NA
Pabay_30_7_22_3,3,Pabay,Alaria,30/07/2022,30,7,2022,570,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_7_5_22_1,1,Pabay,Saccharina,07/05/2022,7,5,2022,611,0,0,0,0,0,0,0,0,0.000796178,0,0,0,0,0,0,0,0
Pabay_7_5_22_1,1,Pabay,Alaria,07/05/2022,7,5,2022,611,0,0,0,0,0,0,0,0,0,0,0,0,0.000738552,0.000738552,0,0,0
Pabay_7_5_22_2,2,Pabay,Saccharina,07/05/2022,7,5,2022,530,0,0,0,0,0,0.292351866,0,0,0,0,0,0,0,0,0,0,0
Pabay_7_5_22_2,2,Pabay,Alaria,07/05/2022,7,5,2022,530,0,0,0,0,0,0.292351866,0,0,0,0,0,0,0,0,0,0,0
Pabay_7_5_22_3,3,Pabay,Saccharina,07/05/2022,7,5,2022,0,0,0,0,0,0,0,0,0,0,0.002679528,0,0,0,0,0,0,0
Pabay_7_5_22_3,3,Pabay,Alaria,07/05/2022,7,5,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_8_2_22_1,1,Pabay,Alaria,08/02/2022,8,2,2022,2,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_8_2_22_1,1,Pabay,Saccharina,08/02/2022,8,2,2022,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_8_2_22_2,2,Pabay,Alaria,08/02/2022,8,2,2022,136,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_8_2_22_2,2,Pabay,Saccharina,08/02/2022,8,2,2022,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_8_2_22_3,3,Pabay,Alaria,08/02/2022,8,2,2022,85,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_8_2_22_3,3,Pabay,Saccharina,08/02/2022,8,2,2022,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_8_3_22_1,1,Pabay,Alaria,08/03/2022,8,3,2022,289,0,0,0,0,0,0,0,0,0,0,0,0,0.013337779,0,0,0,0
Pabay_8_3_22_1,1,Pabay,Saccharina,08/03/2022,8,3,2022,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_8_3_22_2,2,Pabay,Alaria,08/03/2022,8,3,2022,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_8_3_22_2,2,Pabay,Saccharina,08/03/2022,8,3,2022,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_8_3_22_3,3,Pabay,Alaria,08/03/2022,8,3,2022,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_8_3_22_3,3,Pabay,Saccharina,08/03/2022,8,3,2022,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
