Observer,Analysis Date,SampleID,SampleCode,Site,Location,Replicate,Date,Day,Month,Year,Sample no,liters of seawater sampled,/L to /m3,Sample quality,notes,exuviae,#ind total_COPEPODA,total_COPEPODA,#ind Copepod nauplii,Copepod nauplii,#ind Copepods,Copepods,#ind Appendicularia,Appendicularia,#ind total_Balanoid,total_BALANOID,#ind Balanoid nauplii,Balanoid nauplii,#ind Balanoid cypris,Balanoid cypris,#ind Sagitta,Sagitta,#ind Total_POLYCHAETAE,Total_POLYCHAETAE,#ind Sabellariidae,Sabellariidae,#ind  other Polychaetae larvae,other Polychaetae larvae,#ind Spionida,Spionida,#ind Total_BRANCHIOPODA,Total_BRANCHIOPODA,#ind Evadne,Evadne,#ind Podon,Podon,#ind Gastropoda,Gastropoda,#ind Bryozoa larvae,Bryozoa larvae,#ind Bivalvia,Bivalvia,#ind Fish egg,Fish egg,#ind Fish larvae,Fish larvae,#ind Total_HYDROZOA,Total_HYDROZOA,#ind Obelia,Obelia,#ind Rathkea Octopunctata,Rathkea Octopunctata,#ind Clytia,Clytia,#ind unknown Jellies,unknown Jellies,#ind Hydroids,Hydroids,#ind Lizzia blondina,Lizzia blondina,#ind Stauridiosarsia gemmifera,Stauridiosarsia gemmifera,#ind Solmaris corona,Solmaris corona,#ind Euphysa sp.,Euphysa sp.,#ind Siphonophorae,Siphonophorae,#ind Total_MALACOSTRACA,Total_MALACOSTRACA,#ind Decapoda larvae,Decapoda larvae,#ind Amphipod,Amphipod,#ind Ophiura larvae,Ophiura larvae,#ind Asteroida larvae,Asteroida larvae,#ind Sea urchin larvae,Sea urchin larvae,#ind Ascidian larvae,Ascidian larvae,#ind Anemone larvae,Anemone larvae,#ind Nemertini larvae,Nemertini larvae,#ind Phoronida larvae,Phoronida larvae,#ind Ctenophore,Ctenophore,#ind Holothuria larvae,Holothuria larvae,#ind Total_Zooplankton,Total_Zooplankton,#ind Meroplankton,Meroplankton,#ind Holoplankton,Holoplankton,#ind MP Fragments,MP Fragments,#ind Microfibers,Microfibers
Eleni,17/01/2022,Pabay_NE_15/6/2021,Pabay_NE_1,Pabay,NE,,15/06/2021,15,6,2021,1,491,0.491,bad,U-unknownGPS point,TRUE,963,1961,250,509,713,1451,1,2,0,0,0,0,0,0,1,2,0,52,25,52,0,0,0,0,38,76,38,76,0,0,1,2,0,0,1,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1019,2075,15,30,1003,2043,0,0,13,25
Eleni,,Pabay_NW_15/6/2021,Pabay_NW_1,Pabay,NW,,15/06/2021,15,6,2021,1,491,0.491,bad,,TRUE,4800,9778,3350,6825,1450,2954,50,102,0,0,0,0,0,0,0,0,0,53,25,51,0,0,1,2,0,0,0,0,0,0,250,509,0,0,1638,3336,13,25,0,0,1,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6751,13753,1889,3847,4863,9906,13,25,38,76
Eleni,27/01/2022,Scalpay_SW_15/6/2021,Scalpay_SW_1,Scalpay,SW,1,15/06/2021,15,6,2021,1,491,0.491,bad,,TRUE,3900,7945,3000,6112,900,1833,100,204,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,13,25,13,25,0,0,63,127,,0,900,1833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4976,10137,964,1963,4013,8174,1,2,13,25
Eleni,23/03/2022,Scalpay_U_15/6/2021,Scalpay_U_1,Scalpay,U,2,15/06/2021,15,6,2021,1,491,0.491,good,,TRUE,3425,6977,2713,5526,713,1451,50,102,13,25,13,25,0,0,0,0,0,0,0,0,0,0,0,0,13,25,13,25,0,0,13,25,13,25,588,1197,38,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0,0,38,76,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4190,8535,652,1328,3538,7207,0,0,13,25
Eleni,14/04/2022,Scalpay_NW_15/6/2021,Scalpay_NW_1,Scalpay,NW,3,15/06/2021,15,6,2021,1,491,0.491,bad,,TRUE,2188,4456,1725,3514,463,942,88,178,0,0,0,0,0,0,0,0,38,76,38,76,0,0,0,0,1,2,1,2,0,0,25,51,0,0,325,662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,51,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2690,5479,414,842,2276,4637,0,0,63,127
Eleni,15/03/2022,Scalpay_4_15/6/2021,Scalpay_4_1,Scalpay,4,4,15/06/2021,15,6,2021,1,491,0.491,good,,TRUE,3163,6443,2463,5017,700,1426,25,51,1,2,1,2,0,0,1,2,13,25,0,0,13,25,0,0,2,4,1,2,1,2,25,51,0,0,575,1171,100,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,2,13,25,0,0,13,25,0,0,0,0,0,0,0,0,0,0,0,0,3930,8006,639,1301,3291,6703,0,0,0,0
Eleni,03/03/2022,Scalpay_5_15/6/2021,Scalpay_5_1,Scalpay,5,5,15/06/2021,15,6,2021,1,491,0.491,good,,TRUE,2850,5806,2000,4074,850,1732,25,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,178,0,0,613,1248,25,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3602,7338,702,1430,2900,5908,13,25,13,25
Eleni,15/02/2022,Pabay_NE_16/9/2021,Pabay_NE_2,Pabay,NE,1,16/09/2021,16,9,2021,2,491,0.491,bad,,TRUE,8063,16425,5413,11026,2650,5399,2113,4304,38,76,38,76,0,0,0,0,152,310,150,306,1,2,1,2,39,78,38,76,1,2,825,1681,1,2,375,764,25,51,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,178,88,178,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11720,23875,1444,2941,10276,20934,0,0,13,25
Eleni,19/01/2022,Pabay_NW_16/9/2021,Pabay_NW_2,Pabay,NW,2,16/09/2021,16,9,2021,2,491,0.491,acceptable,,TRUE,6783,13819,4217,8590,2567,5229,1975,4023,0,0,0,0,0,0,0,0,108,221,108,221,0,0,0,0,9,19,8,17,1,2,300,611,1,2,250,509,17,34,0,0,10,21,1,2,0,0,0,0,0,0,0,0,8,17,1,2,0,0,0,0,0,0,108,221,108,221,0,0,1,2,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9572,19499,787,1604,8784,17895,0,0,8,17
Eleni,26/01/2021,Pabay_Mid_16/9/2021,Pabay_Mid_2,Pabay,Mid,3,16/09/2021,16,9,2021,2,491,0.491,bad,,FALSE,5738,11688,3588,7308,2150,4380,2238,4558,0,0,0,0,0,0,0,0,13,25,13,25,0,0,0,0,2,4,1,2,1,2,63,127,25,51,75,153,17,34,0,0,17,34,8,17,0,0,0,0,0,0,0,0,8,17,0,0,0,0,0,0,0,0,1,2,1,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8187,16679,194,395,7994,16285,0,0,1,2
Eleni,13/11/2021,Pabay_NE_30/10/2021,Pabay_NE_3,Pabay,NE,1,30/10/2021,30,10,2021,3,491,0.491,good,,TRUE,2350,4787,1317,2682,1033,2105,58,119,0,0,0,0,0,0,0,0,33,68,33,68,0,0,0,0,8,17,0,0,8,17,8,17,33,68,25,51,0,0,0,0,1,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2519,5131,102,208,2417,4923,0,0,1,2
Eleni,09/02/2022,Pabay_NW_30/10/2021,Pabay_NW_3,Pabay,NW,2,30/10/2021,30,10,2021,3,491,0.491,good,,FALSE,1550,3158,983,2003,567,1154,67,136,0,0,0,0,0,0,0,0,42,85,42,85,0,0,0,0,0,0,0,0,0,0,42,85,17,34,58,119,1,2,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1776,3618,158,323,1618,3295,0,0,8,17
Eleni,29/11/2021,Pabay_Mid_30/10/2021,Pabay_Mid_3,Pabay,Mid,3,30/10/2021,30,10,2021,3,491,0.491,good,,FALSE,1383,2818,625,1273,758,1545,50,102,0,0,0,0,0,0,0,0,17,34,17,34,0,0,0,0,17,34,8,17,8,17,1,2,1,2,42,85,0,0,0,0,8,17,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1520,3096,70,142,1450,2954,0,0,25,51
Eleni,25/01/2022,Pabay_NE_13/11/2021,Pabay_NE_4,Pabay,NE,1,13/11/2021,13,11,2021,4,491,0.491,good,,FALSE,1400,2852,683,1392,717,1460,33,68,17,34,17,34,0,0,0,0,25,51,25,51,0,0,0,0,0,0,0,0,0,0,17,34,42,85,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17,0,0,0,0,0,0,0,0,0,0,1544,3145,93,189,1451,2956,0,0,0,0
Eleni,25/01/2022,Pabay _NW_13/11/2021,Pabay _NW_4,Pabay ,NW,2,13/11/2021,13,11,2021,4,491,0.491,good,,FALSE,942,1918,408,832,533,1086,25,51,0,0,0,0,0,0,0,0,1,2,1,2,0,0,0,0,1,2,0,0,1,2,17,34,42,85,1,2,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1029,2096,61,125,968,1971,1,2,1,2
Eleni,09/02/2022,Pabay_Mid_13/11/2021,Pabay_Mid_4,Pabay,Mid,3,13/11/2021,13,11,2021,4,491,0.491,good,,FALSE,1483,3022,692,1409,792,1613,17,34,0,0,0,0,0,0,0,0,33,68,33,68,0,0,0,0,0,0,0,0,0,0,50,102,50,102,17,34,17,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1675,3412,158,323,1517,3090,0,0,1,2
Eleni,20/01/2022,Pabay_NE_29/11/2021,Pabay_NE_5,Pabay,NE,1,29/11/2021,29,11,2021,5,491,0.491,good,,FALSE,208,424,92,187,117,238,1,2,0,0,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,1,2,1,2,25,51,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,34,0,0,0,0,0,0,0,0,0,0,255,519,46,93,209,426,0,0,0,0
Eleni,25/01/2022,Pabay_Mid_29/11/2021,Pabay_Mid_5,Pabay,Mid,3,29/11/2021,29,11,2021,5,491,0.491,good,,FALSE,292,594,108,221,183,373,17,34,8,17,8,17,0,0,0,0,25,51,25,51,0,0,0,0,0,0,0,0,0,0,1,2,25,51,17,34,17,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,8,17,0,0,0,0,0,0,0,0,0,0,410,836,77,157,333,679,1,2,1,2
Eleni,07/02/2022,Pabay_NE_10/12/2021,Pabay_NE_6,Pabay,NE,1,10/12/2021,10,12,2021,6,491,0.491,good,,TRUE,58,119,42,85,17,34,8,17,0,0,0,0,0,0,0,0,1,2,1,2,0,0,0,0,1,2,0,0,1,2,1,2,8,17,8,17,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,178,19,38,69,140,0,0,1,2
Eleni,09/02/2022,Pabay_NW_10/12/2021,Pabay_NW_6,Pabay,NW,2,10/12/2021,10,12,2021,6,491,0.491,good,,FALSE,175,357,100,204,75,153,1,2,0,0,0,0,0,0,0,0,8,17,8,17,0,0,0,0,0,0,0,0,0,0,17,34,17,34,1,2,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,462,43,87,184,376,1,2,1,2
Eleni,23/02/2022,Pabay_Mid_10/12/2021,Pabay_Mid_6,Pabay,Mid,3,10/12/2021,10,12,2021,6,491,0.491,good,,FALSE,25,51,17,34,8,17,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,106,19,38,33,68,0,0,8,17
Eleni,31/01/2022,Scalpay_SW_21/12/2021,Scalpay_SW_7,Scalpay,SW,1,21/12/2021,21,12,2021,7,491,0.491,good,,TRUE,442,900,133,272,308,628,1,2,0,0,0,0,0,0,0,0,83,170,83,170,0,0,0,0,0,0,0,0,0,0,17,34,33,68,17,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,593,1207,150,306,443,902,0,0,8,17
Eleni,23/02/2022,Scalpay_Mid_21/12/2021,Scalpay_Mid_7,Scalpay,Mid,2,21/12/2021,21,12,2021,7,491,0.491,good,,FALSE,242,492,133,272,108,221,1,2,1,2,1,2,0,0,0,0,8,17,8,17,0,0,0,0,1,2,1,2,0,0,8,17,8,17,50,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,651,75,153,245,498,1,2,0,0
Eleni,24/02/2022,Scalpay_NW_21/12/2021,Scalpay_NW_7,Scalpay,NW,3,21/12/2021,21,12,2021,7,491,0.491,good,,FALSE,358,730,225,458,133,272,17,34,0,0,0,0,0,0,0,0,8,17,8,17,0,0,0,0,0,0,0,0,0,0,1,2,25,51,25,51,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443,902,59,121,383,781,0,0,17,34
Eleni,10/02/2022,Pabay_NE_21/12/2021,Pabay_NE_7,Pabay,NE,1,21/12/2021,21,12,2021,7,491,0.491,good,,TRUE,300,611,108,221,192,390,1,2,0,0,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,17,34,17,34,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336,685,35,72,301,613,0,0,1,2
Eleni,07/02/2022,Pabay_NW_21/12/2021,Pabay_NW_7,Pabay,NW,2,21/12/2021,21,12,2021,7,491,0.491,good,,FALSE,308,628,167,340,142,289,1,2,0,0,0,0,0,0,0,0,8,17,8,17,0,0,0,0,0,0,0,0,0,0,33,68,17,34,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376,766,67,136,309,630,0,0,1,2
Eleni,24/02/2022,Pabay_Mid_21/12/2021,Pabay_Mid_7,Pabay,Mid,3,21/12/2021,21,12,2021,7,491,0.491,good,,TRUE,150,306,42,85,108,221,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,5,10,17,34,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,369,31,63,150,306,0,0,1,2
Eleni,28/02/2022,Pabay_NE_14/1/2022,Pabay_NE_8,Pabay,NE,1,14/01/2022,14,1,2022,8,491,0.491,good,,FALSE,283,577,50,102,233,475,17,34,1,2,1,2,0,0,0,0,100,204,100,204,0,0,0,0,0,0,0,0,0,0,17,34,8,17,75,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17,0,0,0,0,0,0,0,0,0,0,0,0,509,1038,208,424,301,613,1,2,1,2
Eleni,24/02/2022,Pabay _NW_14/1/2022,Pabay _NW_8,Pabay ,NW,2,14/01/2022,14,1,2022,8,491,0.491,good,,FALSE,333,679,67,136,267,543,8,17,0,0,0,0,0,0,0,0,83,170,83,170,0,0,0,0,8,17,8,17,0,0,33,68,25,51,117,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,609,1241,259,528,350,713,0,0,8,17
